Iteration,timestamp,client_keygen_s,client_enc_s,client_dec_s,server_enc_s,server_dec_s,server_sign_s,final_key_hex
98,1764450473.5261407,0.000047227,0.000018865,0.000022161,0.000036036,0.000048058,0.000062786,51d0a732e3ba5d1b196da1f0b925d328246a87dd06c52d214ef8411e5866cb97
99,1764450473.5281668,0.000026128,0.000028373,0.000035155,0.000046687,0.000056224,0.000085598,b66ebe87fa8d28065eba9bad2ca9a86ae3bdfc8ae795fa8c1bdb48ad2cc155f2
100,1764450473.5312514,0.000033221,0.000024395,0.000084135,0.000070701,0.000066744,0.000103601,442b50dd45a84bfb118a7910d90bd1ad399937df68b1f836ba9f1d1f01dff928
101,1764450473.5340035,0.000036588,0.000018755,0.000047548,0.000069047,0.000058488,0.000076652,9147328980d8cf9e880af64db371de2dc9ba22d748f5cd136418ea6f5de0b64c
102,1764450473.5365198,0.000050213,0.000031798,0.000036517,0.000070871,0.000121153,0.000125171,63f127ab24f90162c441702d7aca241151b7d58921bca8557ea4b3f9db082c0c
103,1764450473.5393517,0.000030346,0.000023173,0.000093202,0.000048539,0.000050924,0.000094194,955d32356b638551e0cd958ef7fa2874b3ac5f5746d5a40fed02fe7fbd8edd8d
104,1764450473.5425081,0.000067725,0.000034583,0.000036978,0.000040184,0.000045514,0.000107058,1b6d256fc4578a8ead6105f8c75afbb1e8e9483a49d5a78bb31abcaa5000a41c
105,1764450473.5460975,0.000030296,0.000032080,0.000067044,0.000063698,0.000065721,0.000091749,0aff3e3a2eae6ca45f5daca22cf04208442a98597a91447f35231a19ef5f5be1
106,1764450473.5488873,0.000040655,0.000018414,0.000041396,0.000073586,0.000082191,0.000122085,10f88e662b0483b844259ee6de58999d6419f288b6b53b4457d5a3d01eb5e7c9
107,1764450473.5515585,0.000030055,0.000016661,0.000031337,0.000060182,0.000062215,0.000094344,9a65ac1efe804f03b017f69585f0b8a5c4562ef5bbecef5df613310e8cde17bf
108,1764450473.553952,0.000026930,0.000015959,0.000034614,0.000058248,0.000057637,0.000087732,dd3aa75acf8a0465ddd34f7e0f07358a17f65de3439a68ee8293c6527a85efdb
109,1764450473.5567372,0.000027782,0.000018704,0.000051074,0.000056324,0.000080739,0.000102809,67ec06fa7df5d8f82b6e0c68e1ba24fa2f8dc447edea15d9fddfeeac7d8f964b
110,1764450473.5589535,0.000032039,0.000018043,0.000029395,0.000053850,0.000062485,0.000084155,18203e6227666c9441dcb16d9e6f0aa120f3640f2ab3ea4d111817f7637539ea
111,1764450473.5608811,0.000025958,0.000024566,0.000032971,0.000028402,0.000030787,0.000038441,873fe70940e7ef7a6bb34c6ecb98e4e2329d8811713a8fd45c6642295d421ba3
112,1764450473.5637424,0.000031248,0.000018254,0.000080849,0.000051345,0.000050022,0.000088694,b533264d0caffa577a64d5502728185de51718f71eb0b27f1116c43d569656ba
113,1764450473.5663807,0.000060462,0.000068326,0.000027271,0.000039874,0.000048459,0.000054941,64c87a78724f6c568baab48bcb2830663d46c78793597376fb14b1628ce82a6b
114,1764450473.5684028,0.000024916,0.000017292,0.000020348,0.000030597,0.000035876,0.000049411,7880407ef52ee754597844657e2232be41372db1222f5467f13a802db6254ebd
115,1764450473.571148,0.000021750,0.000016180,0.000073896,0.000067475,0.000057907,0.000082151,e280f53ab49b06159bccfe98447e482dac1b4f0f659a8ccdbc3ae6f9b7aff3ca
116,1764450473.5748115,0.000051916,0.000021290,0.000068396,0.000081110,0.000102940,0.000126413,cf7eb8755ca0e3279005099fd48fe7fb1970d94239a3a0ba22485fe249921189
117,1764450473.5772712,0.000047497,0.000027872,0.000025547,0.000061544,0.000053599,0.000075018,ec17753ef3d267eeb741cdbfbc3c54e8db13c4541b4e9fb890a546040923ddda
118,1764450473.5806036,0.000026479,0.000016480,0.000071451,0.000062475,0.000086550,0.000125722,8a15f208cdce74f3f39c6dead33a36e4726a71afec1d70dbd454e3c50145815b
119,1764450473.5827978,0.000039764,0.000019366,0.000025608,0.000038080,0.000047849,0.000052928,9d20b2cc8d6a4ec8514a3eb872252627d9176e41f8588766f27d1a57453821d8
120,1764450473.5845165,0.000024044,0.000015990,0.000024425,0.000029164,0.000032390,0.000043089,fe5329409f016e8f0f54c851e57f229d3df5814e451c64f9de94e32131d29482
121,1764450473.586824,0.000023694,0.000015529,0.000058098,0.000038852,0.000040214,0.000059620,02a5dc2561783612f7f20ad3569fa62d124aa24199a4c44b6e1bf25261cd79c7
122,1764450473.5908844,0.000075580,0.000040464,0.000052246,0.000048790,0.000061103,0.000081881,d86509d0a7be862a9bbe5614f1f2266c7ada825c72651178475f0ccfc2cbbfe6
123,1764450473.5934744,0.000030146,0.000016951,0.000030176,0.000057285,0.000059209,0.000092772,b3036166287e0edfed01fa7772f51259697dbe201b40145f9cb8c6e806a62454
124,1764450473.5956094,0.000026419,0.000015989,0.000063307,0.000038040,0.000044221,0.000054981,503610706655e3f69747187f08d50f2b9bc828eac2bf82e42b6a38aa0beb97d3
125,1764450473.5999095,0.000040996,0.000018294,0.000104714,0.000098773,0.000134598,0.000105545,d48c0e96cb14f2109a685238283db74fc77a1ddd7f0254c03ec7839ae90c896b
126,1764450473.6048234,0.000064439,0.000030246,0.000118168,0.000102279,0.000153654,0.000149145,7b5bf67a7f135a3f0476b080ab402aa8b0cb949d2dc7cb2a5004e12e61bcf184
127,1764450473.6087666,0.000069929,0.000030607,0.000094785,0.000058869,0.000065451,0.000083123,ac7e1fb9fb013b2e808e76bcc4475e4f57ccfcf07fb81734270816ead95b269d
128,1764450473.6133065,0.000098552,0.000034995,0.000106967,0.000053258,0.000062265,0.000082722,27f1a16d8d4e5e09b6e5f0acceb7ef56eb0a851236ed5e96f9efedd535ed9ea5
129,1764450473.6175072,0.000062846,0.000028392,0.000067925,0.000091299,0.000129730,0.000134528,ed1d8fc6e675f620831b2e114b606bba3f8e1a2edac1b5b3bac16df36d3c9b9a
130,1764450473.6206234,0.000043189,0.000023464,0.000105575,0.000048389,0.000060802,0.000065592,1b909e8589caff33ef2e6768a7f83692c221d87b2f97709d251f2bd8a377818a
131,1764450473.625038,0.000076081,0.000030747,0.000072223,0.000091259,0.000132384,0.000155186,147a73e06826e4e3b9ab7a4cf1cd008c3e0133f1b9ae315d4d4c29acf158fb41
132,1764450473.6290972,0.000045875,0.000024586,0.000100044,0.000066162,0.000073516,0.000154074,1cc7d770e4fc31f5c76d4d776c9cc6100dadae3bb265f160e1e1f12ca4e0f4f6
133,1764450473.6327507,0.000061934,0.000027480,0.000068105,0.000079196,0.000108590,0.000140139,f2e5e1a3d1f5a979d9b14e7a59ef7db9c0b2494bcdf3988901f69290b5b4c80f
134,1764450473.635725,0.000045104,0.000024345,0.000062025,0.000048820,0.000058568,0.000082072,1ddec7a0e1f53c32b690b514957fd5d7dd802f253a9913f8993f62bc151522b2
