Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,ciphertext_bytes
162,1764450495.8812816,rsa_handshake,0.000240715|0.000078886,0.00,0.00,44412928,44412928,512
163,1764450495.8958695,rsa_handshake,0.000230346|0.000050744,0.00,0.00,44412928,44412928,512
164,1764450495.9267118,rsa_handshake,0.000300696|0.000049542,0.00,0.00,44412928,44412928,512
165,1764450495.9748127,rsa_handshake,0.000234593|0.000053849,0.00,0.00,44412928,44412928,512
166,1764450496.0090153,rsa_handshake,0.000450302|0.000100997,0.00,0.00,44412928,44412928,512
167,1764450496.0285819,rsa_handshake,0.000256203|0.000059369,0.00,0.00,44412928,44412928,512
168,1764450496.0874915,rsa_handshake,0.000481599|0.000077103,0.00,0.00,44412928,44412928,512
169,1764450496.1198165,rsa_handshake,0.000381925|0.000057236,0.00,0.00,44412928,44412928,512
170,1764450496.1308947,rsa_handshake,0.000241196|0.000054801,0.00,0.00,44412928,44412928,512
171,1764450496.1497426,rsa_handshake,0.000472302|0.000104243,0.00,0.00,44412928,44412928,512
172,1764450496.1655214,rsa_handshake,0.000242377|0.000059980,0.00,0.00,44412928,44412928,512
173,1764450496.2429647,rsa_handshake,0.000429402|0.000084937,0.00,0.00,44417024,44417024,512
174,1764450496.2612941,rsa_handshake,0.000423222|0.000090567,0.00,0.00,44417024,44417024,512
175,1764450496.2923326,rsa_handshake,0.000431957|0.000095236,0.00,0.00,44417024,44417024,512
176,1764450496.3175585,rsa_handshake,0.000464617|0.000095556,0.00,0.00,44417024,44417024,512
177,1764450496.369225,rsa_handshake,0.000428231|0.000084346,0.00,0.00,44417024,44417024,512
178,1764450496.4128716,rsa_handshake,0.000226498|0.000047688,0.00,0.00,44417024,44417024,512
179,1764450496.4402719,rsa_handshake,0.000367338|0.000052217,0.00,0.00,44417024,44417024,512
180,1764450496.46691,rsa_handshake,0.000298281|0.000067114,0.00,0.00,44417024,44417024,512
181,1764450496.5242462,rsa_handshake,0.000463396|0.000050243,0.00,0.00,44417024,44417024,512
182,1764450496.5422826,rsa_handshake,0.000338515|0.000046546,0.00,0.00,44417024,44417024,512
183,1764450496.568301,rsa_handshake,0.000454469|0.000110584,0.00,0.00,44417024,44417024,512
184,1764450496.5853145,rsa_handshake,0.000427890|0.000092120,0.00,0.00,44421120,44421120,512
185,1764450496.6189663,rsa_handshake,0.000430756|0.000086310,0.00,1653.50,44421120,44421120,512
186,1764450496.6603217,rsa_handshake,0.000429013|0.000091790,0.00,0.00,44421120,44421120,512
187,1764450496.697296,rsa_handshake,0.000529508|0.000106346,0.00,0.00,44421120,44421120,512
188,1764450496.7428608,rsa_handshake,0.000228391|0.000059439,0.00,0.00,44421120,44421120,512
189,1764450496.7804406,rsa_handshake,0.000449750|0.000089255,0.00,0.00,44421120,44421120,512
190,1764450496.8119721,rsa_handshake,0.000459909|0.000099734,0.00,0.00,44421120,44421120,512
191,1764450496.8782973,rsa_handshake,0.000470088|0.000075109,0.00,0.00,44421120,44421120,512
192,1764450496.8925958,rsa_handshake,0.000226618|0.000046727,0.00,0.00,44421120,44421120,512
193,1764450496.9373932,rsa_handshake,0.000533725|0.000038161,0.00,0.00,44421120,44421120,512
194,1764450496.9629395,rsa_handshake,0.000271250|0.000069017,0.00,0.00,44421120,44421120,512
195,1764450497.0186925,rsa_handshake,0.000460600|0.000049322,0.00,0.00,44425216,44425216,512
196,1764450497.0506911,rsa_handshake,0.000559764|0.000107107,0.00,0.00,44425216,44425216,512
197,1764450497.0813293,rsa_handshake,0.000247677|0.000082322,0.00,0.00,44425216,44425216,512
198,1764450497.1086679,rsa_handshake,0.000363651|0.000049130,0.00,0.00,44425216,44425216,512
199,1764450497.190437,rsa_handshake,0.000288051|0.000105034,0.00,0.00,44425216,44425216,512
200,1764450497.2178528,rsa_handshake,0.000444150|0.000066673,0.00,0.00,44425216,44425216,512
201,1764450497.2429898,rsa_handshake,0.000233360|0.000049762,0.00,0.00,44425216,44425216,512
202,1764450497.268008,rsa_handshake,0.000457866|0.000093343,0.00,0.00,44425216,44425216,512
203,1764450497.2898026,rsa_handshake,0.000237889|0.000051926,0.00,0.00,44425216,44425216,512
204,1764450497.3144684,rsa_handshake,0.000448207|0.000089155,0.00,0.00,44425216,44425216,512
205,1764450497.3940117,rsa_handshake,0.000575252|0.000112298,0.00,0.00,44425216,44425216,512
206,1764450497.4324846,rsa_handshake,0.000433701|0.000082823,0.00,0.00,44429312,44429312,512
207,1764450497.4649942,rsa_handshake,0.000425505|0.000049751,0.00,0.00,44429312,44429312,512
208,1764450497.47654,rsa_handshake,0.000459779|0.000106867,0.00,0.00,44429312,44429312,512
209,1764450497.5465333,rsa_handshake,0.000577606|0.000113770,0.00,0.00,44429312,44429312,512
210,1764450497.565589,rsa_handshake,0.000443279|0.000094245,0.00,0.00,44429312,44429312,512
211,1764450497.6133378,rsa_handshake,0.000409897|0.000055703,0.00,0.00,44429312,44429312,512
212,1764450497.6283307,rsa_handshake,0.000295105|0.000061995,0.00,0.00,44429312,44429312,512
213,1764450497.6525102,rsa_handshake,0.000261292|0.000050534,0.00,0.00,44429312,44429312,512
214,1764450497.6812477,rsa_handshake,0.000237749|0.000071202,0.00,0.00,44429312,44429312,512
215,1764450497.7111654,rsa_handshake,0.000336631|0.000048370,0.00,0.00,44429312,44429312,512
216,1764450497.7598574,rsa_handshake,0.000227350|0.000046706,0.00,0.00,44429312,44429312,512
217,1764450497.8192334,rsa_handshake,0.000254189|0.000063557,0.00,0.00,44433408,44433408,512
218,1764450497.889807,rsa_handshake,0.000452715|0.000087341,0.00,0.00,44433408,44433408,512
219,1764450497.9193661,rsa_handshake,0.000419855|0.000059730,0.00,0.00,44433408,44433408,512
220,1764450497.9680378,rsa_handshake,0.000229173|0.000057316,0.00,0.00,44433408,44433408,512
221,1764450497.9847429,rsa_handshake,0.000286930|0.000074638,0.00,0.00,44433408,44433408,512
222,1764450498.005024,rsa_handshake,0.000430796|0.000067635,0.00,0.00,44433408,44433408,512
223,1764450498.034922,rsa_handshake,0.000435965|0.000078425,0.00,0.00,44433408,44433408,512
224,1764450498.0811207,rsa_handshake,0.000242357|0.000081190,0.00,2670.10,44433408,44433408,512
225,1764450498.1589053,rsa_handshake,0.000725199|0.000037890,0.00,0.00,44433408,44433408,512
226,1764450498.1848946,rsa_handshake,0.000471240|0.000099424,0.00,0.00,44433408,44433408,512
227,1764450498.206821,rsa_handshake,0.000465690|0.000090528,0.00,0.00,44433408,44433408,512
228,1764450498.2321,rsa_handshake,0.000375243|0.000088854,0.00,0.00,44433408,44433408,512
229,1764450498.2925663,rsa_handshake,0.000447456|0.000085418,0.00,1623.80,44437504,44437504,512
230,1764450498.315515,rsa_handshake,0.000442627|0.000084656,0.00,0.00,44437504,44437504,512
231,1764450498.3547404,rsa_handshake,0.000258537|0.000072744,0.00,0.00,44437504,44437504,512
232,1764450498.3945997,rsa_handshake,0.000447907|0.000087000,0.00,0.00,44437504,44437504,512
233,1764450498.4047444,rsa_handshake,0.000288042|0.000060181,0.00,0.00,44437504,44437504,512
234,1764450498.4525802,rsa_handshake,0.000443389|0.000051004,0.00,0.00,44437504,44437504,512
