Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,client_ct_bytes,server_ct_bytes,total_packet_bytes
0,1764562564.604958,server_kem_keygen,0.001171324,0.00,0.00,39895040,40591360,,800,800
197,1764562605.2340667,kem_handshake,0.000023383|0.000019326|0.000033131,0.00,0.00,43008000,43008000,768,768,1536
198,1764562605.235264,kem_handshake,0.000026579|0.000020658|0.000045534,0.00,0.00,43008000,43008000,768,768,1536
199,1764562605.2364583,kem_handshake,0.000019957|0.000016070|0.000033301,0.00,0.00,43008000,43008000,768,768,1536
200,1764562605.2375314,kem_handshake,0.000018835|0.000015438|0.000032640,0.00,0.00,43008000,43008000,768,768,1536
201,1764562605.2385767,kem_handshake,0.000018034|0.000015498|0.000032470,0.00,0.00,43008000,43008000,768,768,1536
202,1764562605.239629,kem_handshake,0.000018264|0.000015098|0.000032650,0.00,0.00,43008000,43008000,768,768,1536
203,1764562605.2408009,kem_handshake,0.000025267|0.000020848|0.000036869,0.00,0.00,43008000,43008000,768,768,1536
204,1764562605.2418892,kem_handshake,0.000018585|0.000015719|0.000036116,0.00,0.00,43008000,43008000,768,768,1536
205,1764562605.243055,kem_handshake,0.000020949|0.000016100|0.000033451,0.00,0.00,43008000,43008000,768,768,1536
206,1764562605.2442474,kem_handshake,0.000020348|0.000016150|0.000032901,0.00,0.00,43008000,43008000,768,768,1536
207,1764562605.2453277,kem_handshake,0.000018695|0.000015549|0.000034894,0.00,0.00,43008000,43008000,768,768,1536
208,1764562605.2464156,kem_handshake,0.000019676|0.000016240|0.000032811,0.00,0.00,43008000,43008000,768,768,1536
209,1764562605.247482,kem_handshake,0.000018865|0.000015940|0.000032880,0.00,0.00,43008000,43008000,768,768,1536
210,1764562605.24855,kem_handshake,0.000020418|0.000020237|0.000041376,0.00,0.00,43008000,43008000,768,768,1536
211,1764562605.249662,kem_handshake,0.000019616|0.000015729|0.000033101,0.00,0.00,43008000,43008000,768,768,1536
212,1764562605.2507794,kem_handshake,0.000023423|0.000020297|0.000042368,0.00,0.00,43008000,43008000,768,768,1536
213,1764562605.2519896,kem_handshake,0.000022301|0.000017062|0.000035505,0.00,0.00,43008000,43008000,768,768,1536
214,1764562605.2530956,kem_handshake,0.000020137|0.000015980|0.000032910,0.00,0.00,43008000,43008000,768,768,1536
215,1764562605.254181,kem_handshake,0.000018524|0.000015378|0.000032610,0.00,0.00,43008000,43008000,768,768,1536
216,1764562605.255223,kem_handshake,0.000018364|0.000015910|0.000032561,0.00,0.00,43008000,43008000,768,768,1536
217,1764562605.2562873,kem_handshake,0.000018595|0.000015699|0.000032570,0.00,0.00,43008000,43008000,768,768,1536
218,1764562605.2573364,kem_handshake,0.000018364|0.000015218|0.000032520,0.00,0.00,43008000,43008000,768,768,1536
219,1764562605.2584176,kem_handshake,0.000019295|0.000016059|0.000033552,0.00,0.00,43008000,43008000,768,768,1536
220,1764562605.2595878,kem_handshake,0.000025437|0.000021179|0.000040555,0.00,0.00,43008000,43008000,768,768,1536
221,1764562605.2607763,kem_handshake,0.000022311|0.000016149|0.000034364,0.00,0.00,43008000,43008000,768,768,1536
222,1764562605.2619753,kem_handshake,0.000031378|0.000020629|0.000040996,0.00,0.00,43008000,43008000,768,768,1536
223,1764562605.2630956,kem_handshake,0.000019776|0.000016070|0.000033392,0.00,0.00,43008000,43008000,768,768,1536
224,1764562605.264194,kem_handshake,0.000019926|0.000016199|0.000033552,0.00,0.00,43008000,43008000,768,768,1536
225,1764562605.2652802,kem_handshake,0.000018864|0.000015588|0.000033192,0.00,0.00,43008000,43008000,768,768,1536
226,1764562605.2663627,kem_handshake,0.000018925|0.000015359|0.000033282,0.00,0.00,43008000,43008000,768,768,1536
227,1764562605.2674782,kem_handshake,0.000019105|0.000015639|0.000033291,0.00,0.00,43008000,43008000,768,768,1536
228,1764562605.268736,kem_handshake,0.000022421|0.000016461|0.000035315,0.00,0.00,43008000,43008000,768,768,1536
