Iteration,timestamp,client_keygen_s,client_enc_s,client_dec_s,server_enc_s,server_dec_s,ciphertext_bytes
224,1764562633.5819468,0.013298911,0.000065872,0.000675077,0.000070430,0.000483523,512
225,1764562633.6092741,0.023288647,0.000071853,0.001143212,0.000037520,0.000448269,512
226,1764562633.6230779,0.009993052,0.000081671,0.000833741,0.000038691,0.000257206,512
227,1764562633.6549923,0.027797868,0.000115533,0.000463546,0.000041827,0.000323187,512
228,1764562633.669133,0.010942727,0.000068898,0.000471802,0.000069668,0.000433571,512
229,1764562633.7547686,0.081252068,0.000072684,0.000662525,0.000070901,0.000480658,512
230,1764562633.8025498,0.043422506,0.000077784,0.001240072,0.000043230,0.000262175,512
231,1764562633.8430285,0.036027272,0.000118579,0.000839491,0.000077734,0.000460300,512
232,1764562633.909039,0.062007994,0.000128738,0.000469007,0.000069398,0.000444231,512
233,1764562633.9246328,0.011360088,0.000063798,0.001014884,0.000082372,0.000412462,512
234,1764562634.007459,0.079648856,0.000089575,0.000446495,0.000035485,0.000232299,512
235,1764562634.0312662,0.020883242,0.000076271,0.000452296,0.000033593,0.000225436,512
236,1764562634.0688007,0.034107436,0.000061583,0.000467033,0.000061042,0.000277022,512
237,1764562634.081974,0.010940864,0.000041316,0.000435725,0.000034724,0.000216330,512
238,1764562634.105011,0.020871943,0.000051244,0.000440925,0.000032259,0.000211480,512
239,1764562634.1372068,0.029462955,0.000057386,0.000449961,0.000036758,0.000228872,512
240,1764562634.158136,0.018754320,0.000045014,0.000443309,0.000032029,0.000216059,512
241,1764562634.23819,0.076789924,0.000076561,0.000449130,0.000035135,0.000230816,512
242,1764562634.2674074,0.026692386,0.000049151,0.000475589,0.000034504,0.000231437,512
243,1764562634.3047917,0.034262852,0.000088533,0.000439472,0.000038741,0.000249752,512
244,1764562634.3212376,0.013755204,0.000099023,0.000443159,0.000033552,0.000219826,512
245,1764562634.415329,0.090539296,0.000124771,0.000530290,0.000039593,0.000245654,512
246,1764562634.441243,0.022498698,0.000077203,0.000450693,0.000037279,0.000238971,512
