Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,ciphertext_bytes
0,1764562564.6322927,server_rsa_keygen,0.023671224,0.00,84.10,42201088,42291200,
145,1764562630.711599,rsa_handshake,0.000338615|0.000064930,0.00,2223.00,43696128,43696128,512
146,1764562630.7400627,rsa_handshake,0.000430535|0.000063708,0.00,0.00,43696128,43696128,512
147,1764562630.7738457,rsa_handshake,0.000334127|0.000035075,0.00,0.00,43696128,43696128,512
148,1764562630.8158922,rsa_handshake,0.000378169|0.000062646,0.00,0.00,43696128,43696128,512
149,1764562630.8493538,rsa_handshake,0.000433170|0.000034624,0.00,0.00,43696128,43696128,512
150,1764562630.8771908,rsa_handshake,0.000255272|0.000038011,0.00,0.00,43696128,43696128,512
151,1764562630.8973367,rsa_handshake,0.000429463|0.000042268,0.00,0.00,43696128,43696128,512
152,1764562630.923854,rsa_handshake,0.000423893|0.000038251,0.00,0.00,43696128,43696128,512
153,1764562630.9479613,rsa_handshake,0.000354865|0.000059470,0.00,0.00,43696128,43696128,512
154,1764562630.9768722,rsa_handshake,0.000346460|0.000039934,0.00,0.00,43696128,43696128,512
155,1764562630.9964812,rsa_handshake,0.000494453|0.000075660,0.00,0.00,43696128,43696128,512
156,1764562631.0155332,rsa_handshake,0.000438951|0.000067324,0.00,0.00,43696128,43696128,512
157,1764562631.069038,rsa_handshake,0.000323738|0.000042619,0.00,0.00,43696128,43696128,512
158,1764562631.0941315,rsa_handshake,0.000253518|0.000036267,0.00,0.00,43696128,43696128,512
159,1764562631.121126,rsa_handshake,0.000458076|0.000068226,0.00,0.00,43696128,43696128,512
160,1764562631.1439378,rsa_handshake,0.000273906|0.000059159,0.00,0.00,43696128,43696128,512
161,1764562631.165285,rsa_handshake,0.000441506|0.000033171,0.00,0.00,43696128,43696128,512
162,1764562631.19759,rsa_handshake,0.000270009|0.000036177,0.00,0.00,43696128,43696128,512
163,1764562631.209472,rsa_handshake,0.000238090|0.000037229,0.00,0.00,43696128,43696128,512
164,1764562631.2330453,rsa_handshake,0.000236937|0.000034544,0.00,0.00,43696128,43696128,512
165,1764562631.2531648,rsa_handshake,0.000220908|0.000035025,0.00,0.00,43696128,43696128,512
166,1764562631.3207736,rsa_handshake,0.000231658|0.000037759,0.00,0.00,43696128,43696128,512
167,1764562631.339892,rsa_handshake,0.000420287|0.000064489,0.00,0.00,43696128,43696128,512
168,1764562631.350531,rsa_handshake,0.000414415|0.000063387,0.00,0.00,43696128,43696128,512
169,1764562631.4019213,rsa_handshake,0.000231447|0.000051855,0.00,0.00,43696128,43696128,512
170,1764562631.4495294,rsa_handshake,0.000249241|0.000036347,0.00,0.00,43696128,43696128,512
171,1764562631.4735863,rsa_handshake,0.000230657|0.000036477,0.00,0.00,43696128,43696128,512
172,1764562631.495049,rsa_handshake,0.000337223|0.000041807,0.00,0.00,43696128,43696128,512
173,1764562631.5164912,rsa_handshake,0.000529438|0.000084195,0.00,0.00,43696128,43696128,512
174,1764562631.532123,rsa_handshake,0.000524288|0.000032720,0.00,0.00,43696128,43696128,512
175,1764562631.5616446,rsa_handshake,0.000519560|0.000079397,0.00,0.00,43696128,43696128,512
176,1764562631.588643,rsa_handshake,0.000274377|0.000032470,0.00,0.00,43696128,43696128,512
177,1764562631.6138055,rsa_handshake,0.000496738|0.000032530,0.00,0.00,43696128,43696128,512
178,1764562631.6444979,rsa_handshake,0.000539917|0.000080439,0.00,0.00,43696128,43696128,512
179,1764562631.7022011,rsa_handshake,0.000436205|0.000066393,0.00,0.00,43696128,43696128,512
180,1764562631.7867107,rsa_handshake,0.000241105|0.000037009,0.00,0.00,43696128,43696128,512
181,1764562631.8295445,rsa_handshake,0.000457526|0.000070561,0.00,0.00,43696128,43696128,512
182,1764562631.8900478,rsa_handshake,0.000329960|0.000091058,0.00,0.00,43696128,43696128,512
183,1764562631.9601479,rsa_handshake,0.000257376|0.000047457,0.00,0.00,43696128,43696128,512
184,1764562632.0132606,rsa_handshake,0.000570905|0.000083364,0.00,0.00,43696128,43696128,512
185,1764562632.023766,rsa_handshake,0.000512316|0.000078575,0.00,0.00,43696128,43696128,512
186,1764562632.0382314,rsa_handshake,0.000438090|0.000063357,0.00,0.00,43696128,43696128,512
187,1764562632.0559552,rsa_handshake,0.000510503|0.000077262,0.00,0.00,43696128,43696128,512
188,1764562632.0836647,rsa_handshake,0.000443249|0.000065602,0.00,1706.60,43696128,43696128,512
